"ParticipantID","Question.Name","Question.Type","Question.Order","Question.Number","q.solv.time","grade","pp.mean","pp.log.mean","HR.E4.mean","HR.E4.validated.mean","HR.AW.mean","pp_normalized","pp_log_normalized","hr.e4_normalized","hr.e4_validated_normalized","hr.aw_normalized","Gender","SAI.Score"
"S004","A2M106.4","A",2,"14",78,1,0.00638520732264157,-5.05387674399878,66.1251282051282,66.075,66.875,0.00169273612103102,0.310984552915594,-0.313878417388352,-0.188278688524591,2.0595544346364,"F",47
"S004","A3M104.4","A",3,"15",97,1,0.00647575432606594,-5.03970141852625,65.9617525773196,66.0047368421053,69.7894736842105,0.00178328312445539,0.325159878388127,-0.477254045196972,-0.258541846419334,1.89617880682778,"F",47
"S004","A4M105.4","A",4,"16",83,1,0.0064940501176347,-5.03691750615817,64.4714457831325,64.4223529411765,66,0.00180157891602414,0.3279437907562,-1.96756083938402,-1.84092574734812,0.405872012640728,"F",47
"S004","A5M108.4","A",5,"17",34,0,0.00650798527264847,-5.03472713750111,64.0858823529412,64.0185714285714,63.8571428571429,0.00181551407103791,0.330134159413261,-2.35312426957539,-2.24470725995316,0.0203085824493598,"F",47
"S004","A6M107.3","A",6,"18",6,0,0.00614674248099094,-5.09183306547604,66.115,66.215,63,0.00145427127938038,0.273028231438331,-0.324006622516549,-0.0482786885245901,2.0494262295082,"F",47
"S004","A7M111.4","A",7,"19",73,1,0.00638835056851925,-5.05330857454711,69.1979452054795,69.2906666666667,67.7333333333333,0.00169587936690869,0.311552722367268,2.7589385829629,3.02738797814207,5.13237143498765,"F",47
"S004","A8M112.3","A",8,"20",26,0,0.00667048785399206,-5.01012478220512,69.2165384615385,69.216,65.2,0.0019780166523815,0.354736514709256,2.7775318390219,2.9527213114754,5.15096469104665,"F",47
"S004","A9M113.3","A",9,"21",152,1,0.00689590687247431,-4.9782752616508,68.2029605263158,68.285,64.4666666666667,0.00220343567086375,0.386586035263575,1.76395390379923,2.0217213114754,4.13738675582398,"F",47
"S004","B10M102.1","V",5,"5",270,1,0.00598574137108742,-5.11920966006092,64.3215555555556,64.3655555555556,65.2407407407407,0.00129327016947687,0.24565163685345,-2.117451066961,-1.89772313296903,0.255981785063753,"F",47
"S004","B11M111.1","W",6,"30",16,0,0.00666803648270506,-5.01043013566676,65.458125,65.4633333333333,72.3333333333333,0.00197556528109451,0.354431161247609,-0.980881622516563,-0.799945355191269,1.39255122950819,"F",47
"S004","B12M112.1","V",6,"6",261,0,0.00492130173105835,-5.31538468056842,65.2296168582375,65.2194117647059,66.2156862745098,0.000228830529447797,0.0494766163459541,-1.20938976427901,-1.04386692381871,1.16404308774574,"F",47
"S004","B1M106.1","W",1,"25",49,1,0.00547173864583538,-5.20844203895727,73.8820408163265,73.3222222222222,62.6666666666667,0.000779267444224825,0.156419257957105,7.44303419380998,7.05894353369763,9.81646704583473,"F",47
